SampleID,PlantOrigin,SedOrigin,TankID,Dead,ShootLength_mm,ShootWidth_mm,LeafGrowth1_mm,LeafGrowth2_mm,LeafGrowth3_mm,LeafGrowth4_mm,LeafGrowth5_mm,DatePunched,DateMeasured,DaysGrowing,LongestRoot_mm,Rhiz_Length_mm,No_RootBundles,ShootCount,Term_FoilPre_g,Term_FoilPost_g,Side_FoilPre_g,Side_FoilPost_g,Rhiz_FoilPre_g,Rhiz_FoilPost_g,Root_FoilPre_g,Root_FoilPost_g,root.hair1.mm,root.hair2.mm,root.hair3.mm,root.area.mm2,proportion.root.area.mm,dimensions.of.image.mm,area.of.image.mm2,root.hair.surface.area.mm2,propotion.root.hair.area.mm,sulfide.um
1-1,MILL,MILL,1,0,769,8,61,109,95,183,NA,Sept 25th,Oct 3rd,8,102,101,14,3,0.8035,1.8307,0.7444,1.1036,1.261,1.7289,0.795,1.0548,0.734,0.462,0.562,0.195,0.195,1.0 x 1.0,1,0.251,0.251,15.7765
1-2,MILL,MILL,2,0,665,8,72,85,123,152,NA,Sept 25th,Oct 3rd,8,124,85,12,1,0.8551,1.7952,0.7197,0.7202,1.2994,1.6784,0.7705,0.9089,0.584,0.474,0.654,0.286,0.28036467,1.01 x 1.01,1.0201,0.365,0.357808058,4.445
1-3,MILL,MILL,3,0,667,7,31,221,65,189,45,Sept 25th,Oct 3rd,8,98,65,16,3,0.8533,1.6749,0.7095,1.0861,1.2865,1.4671,0.7862,0.9612,1.033,0.729,0.765,0.237,0.24181206,0.99x0.99,0.9801,0.392,0.399959188,5.362
1-4,MILL,MILL,4,1,NA,NA,NA,NA,NA,NA,NA,Sept 25th,Oct 3rd,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.599,0.214,0.162,0.165,0.165,1x1,1,0.042,0.042,NA
1-5,MILL,MILL,5,0,325,4,63,83,NA,NA,NA,Sept 25th,Oct 3rd,8,32,44,4,1,0.8364,0.9769,0.7238,0.7244,1.3126,1.4236,0.7849,0.8131,0.359,0.444,0.328,0.218,0.218,1x1,1,0.171,0.171,6.0825
1-6,MILL,MILL,6,0,515,8,79,59,99,143,NA,Sept 25th,Oct 3rd,8,68,68,8,1,0.7859,1.3998,NA,NA,1.3486,1.5616,0.7627,0.9398,0.527,0.49,0.683,0.295,0.300989695,0.99x0.99,0.9801,0.265,0.270380573,4.6415
1-7,MILL,MILL,7,0,635,8,167,199,25,NA,NA,Sept 25th,Oct 3rd,8,87,83,11,3,0.7983,1.6267,0.691,1.0198,1.3384,1.5793,0.8411,1.0606,0.198,0.25,0.16,0.267,0.267,1x1,1,0.243,0.243,4.838
1-8,MILL,MILL,8,0,631,7,182,182,115,NA,NA,Sept 25th,Oct 3rd,8,96,91,7,3,0.7841,1.6205,0.6939,1.0113,1.2577,1.4858,0.8233,0.955,0.32,0.108,0.226,0.22,0.22,1x1,1,0.138,0.138,4.9035
1-9,MILL,MILL,9,0,421,6,24,75,NA,NA,NA,Sept 25th,Oct 4th,9,55,81,8,1,0.7748,1.0372,NA,Na,1.2156,1.5271,0.8164,0.8912,0.242,0.16,0.154,0.21,0.214263851,0.99x0.99,0.9801,0.093,0.094888277,7.2615
1-10,MILL,MILL,10,0,466,7,46,55,135,NA,NA,Sept 25th,Oct 4th,9,126,91,11,3,0.8048,1.563,0.7906,1.04,1.2606,1.5082,0.8199,1.0487,0.389,0.339,0.262,0.261,0.261,1x1,1,0.112,0.112,4.969
1-11,MILL,MILL,11,0,664,8,41,165,66,157,131,Sept 25th,Oct 4th,9,113,140,14,2,0.8113,1.8555,0.7969,0.9083,1.4295,2.0287,0.812,1.0874,0.307,0.28,0.314,0.231,0.231,1x1,1,0.103,0.103,22.4575
1-12,MILL,MILL,12,0,717,8,117,41,123,203,NA,Sept 25th,Oct 4th,9,135,122,12,2,0.813,2.1261,0.7962,0.9187,1.4705,1.9059,0.7952,1.0715,0.135,0.29,0.167,0.231,0.226448387,1.01x1.01,1.0201,0.152,0.149005,1.432
1-13,MILL,MILL,13,0,644,9,NA,NA,NA,NA,NA,Sept 25th,Oct 4th,9,115,108,11,4,0.7631,2.0992,0.7779,1.2895,1.5093,1.9754,0.8085,1.1669,0.137,0.26,0.24,0.204,0.208142026,.99x0.99,0.9801,0.084,0.08570554,23.2075
1-14,MILL,MILL,14,0,656,8,160,80,215,NA,NA,Sept 25th,Oct 4th,9,141,72,8,3,0.8215,1.9316,0.8358,1.1221,1.5612,1.7818,0.7833,1.0208,0.107,0.078,0.118,0.226,0.226,1x1,1,0.108,0.108,18.6225
1-15,MILL,MILL,15,0,579,8,108,154,160,NA,NA,Sept 25th,Oct 4th,9,127,146,13,3,0.7556,1.7631,0.7715,1.0207,1.5036,1.924,0.8185,1.1009,0.772,0.624,0.895,0.258,0.252916381,1.01x1.01,1.0201,0.257,0.251936085,18.6225
